0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:27 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:27 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:33 +0700] "GET /luceneweb/ HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:33 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:38 +0700] "GET /luceneweb/ HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:38 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:38 +0700] "GET /luceneweb/ HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:38 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:38 +0700] "GET /luceneweb/ HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:18:38 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:32 +0700] "GET /luceneweb/ HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:32 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:32 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:40 +0700] "GET /luceneweb/ HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:40 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:48 +0700] "GET /luceneweb/ HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:48 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:58 +0700] "GET /luceneweb/ HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:36:58 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:05 +0700] "GET /luceneweb/ HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:05 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:17 +0700] "GET /luceneweb/ HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:17 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:48 +0700] "GET /luceneweb/ HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:48 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:57 +0700] "GET /luceneweb/ HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:37:57 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:41:04 +0700] "GET /luceneweb/ HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:41:04 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 200 17507
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:41:04 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:11 +0700] "GET /luceneweb/ HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:11 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:11 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:47 +0700] "GET /luceneweb/ HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:47 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:47 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:53 +0700] "GET /luceneweb/ HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:53 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:42:59 +0700] "GET /luceneweb/ HTTP/1.1" 200 3877
